date,ticker,gross_margin,operating_margin,net_margin,return_on_assets,return_on_equity,return_on_capital
2022-12-31,AAPL,46.0,33.0,25.3,28.3,39.7,34.1
2023-12-31,AAPL,45.9,32.2,25.4,26.5,37.8,32.9
2024-12-31,AAPL,46.6,33.0,25.2,27.0,38.5,33.3

2022-12-31,MSFT,61.8,30.6,23.8,19.5,28.4,25.2
2023-12-31,MSFT,62.0,31.5,24.5,20.0,29.1,25.8
2024-12-31,MSFT,62.2,32.1,25.0,20.5,29.8,26.3

2022-12-31,TSLA,30.8,20.8,15.5,15.3,23.1,20.0
2023-12-31,TSLA,30.9,21.2,16.1,16.0,24.3,20.8
2024-12-31,TSLA,31.0,21.4,16.8,16.8,25.1,21.4
