date,gdp_growth,inflation_rate,interest_rate,unemployment_rate,consumer_confidence_index,manufacturing_pmi,retail_sales_growth
2023-01-31,4.1,6.5,6.25,7.2,58.5,54.2,4.9
2023-02-28,4.3,6.4,6.25,7.1,59.0,55.0,5.1
2023-03-31,4.5,6.1,6.50,7.0,60.2,56.1,5.3
2023-04-30,4.6,5.8,6.50,6.8,61.1,57.2,5.4
2023-05-31,4.7,5.6,6.50,6.7,62.0,58.3,5.5
2023-06-30,4.9,5.4,6.50,6.6,62.5,59.4,5.7
2023-07-31,5.1,5.3,6.50,6.5,63.0,60.2,5.8
2023-08-31,5.3,5.2,6.50,6.3,63.7,60.9,6.0
2023-09-30,5.4,5.0,6.50,6.1,64.2,61.5,6.2
2023-10-31,5.6,4.9,6.50,6.0,65.0,62.3,6.4
2023-11-30,5.7,4.8,6.50,5.9,65.8,63.0,6.5
2023-12-31,5.9,4.7,6.50,5.8,66.2,63.5,6.7
2024-01-31,6.0,4.6,6.50,5.7,67.0,64.0,6.8
