date,gdp_growth,inflation_rate,interest_rate,unemployment_rate,consumer_confidence_index,manufacturing_pmi,retail_sales_growth
2023-01-31,0.6,3.9,-0.10,2.5,30.5,48.2,1.3
2023-02-28,0.7,3.7,-0.10,2.5,31.0,48.6,1.4
2023-03-31,0.8,3.5,-0.10,2.4,32.2,49.0,1.6
2023-04-30,0.9,3.4,-0.10,2.4,33.5,49.5,1.7
2023-05-31,1.0,3.3,-0.10,2.3,34.7,50.0,1.9
2023-06-30,1.2,3.1,-0.10,2.3,35.4,50.2,2.0
2023-07-31,1.3,3.0,-0.10,2.2,36.2,50.5,2.1
2023-08-31,1.4,2.9,-0.10,2.1,36.9,50.8,2.2
2023-09-30,1.5,2.8,-0.10,2.1,37.5,51.0,2.3
2023-10-31,1.6,2.7,-0.10,2.0,38.1,51.3,2.5
2023-11-30,1.7,2.6,-0.10,2.0,38.8,51.7,2.6
2023-12-31,1.8,2.5,-0.10,1.9,39.2,52.0,2.8
2024-01-31,1.9,2.4,-0.10,1.9,39.8,52.4,2.9
