firm,discipline,family,region,horizon,status,name,description,risk_budget,data_dependencies,engine,params,owner,created_at,updated_at,id
Bridgewater,Macro,Rates & Basis,Global,Macro,research,US 2s10s Steepener,Re-steepening as growth recovers.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0001
Bridgewater,Macro,Rates & Basis,Global,Macro,research,US 2s10s Flattener,Flattening under aggressive hikes.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0002
Bridgewater,Macro,Rates & Basis,Global,Macro,research,US 5s30s Steepener,Long-end re-steepening.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0003
Bridgewater,Macro,Rates & Basis,Global,Macro,research,US 5s30s Flattener,Inflation scare hedge.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0004
Bridgewater,Macro,Rates & Basis,Global,Macro,research,Bund 2s10s Flattener,ECB tightening cycle.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0005
Bridgewater,Macro,Rates & Basis,Global,Macro,research,Bund 10s30s Steepener,Pension/LDI dynamics.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0006
Bridgewater,Macro,Rates & Basis,Global,Macro,research,Gilts 10s30s Flattener,LDI demand and QT.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0007
Bridgewater,Macro,Rates & Basis,Global,Macro,research,JGB 2s10s Steepener,YCC relaxation dynamics.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0008
Bridgewater,Macro,Rates & Basis,Global,Macro,research,TIPS Breakeven Long,When CPI > priced breakevens.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0009
Bridgewater,Macro,Rates & Basis,Global,Macro,research,TIPS Breakeven Short,Disinflationary regime bet.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0010
Bridgewater,Macro,Rates & Basis,Global,Macro,research,US Swap Spread Arb,UST vs swap basis dislocations.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0011
Bridgewater,Macro,Rates & Basis,Global,Macro,research,Bund Swap Spread Arb,Bund vs Euribor basis.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0012
Bridgewater,Macro,Rates & Basis,Global,Macro,research,Repo Specialness (UST),Funding scarcity premium.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0013
Bridgewater,Macro,Rates & Basis,Global,Macro,research,UST Futures Basis,CTD roll/basis mispricing.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0014
Bridgewater,Macro,Rates & Basis,Global,Macro,research,Auction Cycle: UST 10Y,Pre/post auction drift alpha.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0015
Bridgewater,Macro,Rates & Basis,US,Macro,research,US 2s10s Steepener (US),Re-steepening as growth recovers.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0016
Bridgewater,Macro,Rates & Basis,US,Macro,research,US 2s10s Flattener (US),Flattening under aggressive hikes.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0017
Bridgewater,Macro,Rates & Basis,US,Macro,research,US 5s30s Steepener (US),Long-end re-steepening.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0018
Bridgewater,Macro,Rates & Basis,US,Macro,research,US 5s30s Flattener (US),Inflation scare hedge.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0019
Bridgewater,Macro,Rates & Basis,US,Macro,research,Bund 2s10s Flattener (US),ECB tightening cycle.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0020
Bridgewater,Macro,Rates & Basis,US,Macro,research,Bund 10s30s Steepener (US),Pension/LDI dynamics.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0021
Bridgewater,Macro,Rates & Basis,US,Macro,research,Gilts 10s30s Flattener (US),LDI demand and QT.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0022
Bridgewater,Macro,Rates & Basis,US,Macro,research,JGB 2s10s Steepener (US),YCC relaxation dynamics.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0023
Bridgewater,Macro,Rates & Basis,US,Macro,research,TIPS Breakeven Long (US),When CPI > priced breakevens.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0024
Bridgewater,Macro,Rates & Basis,US,Macro,research,TIPS Breakeven Short (US),Disinflationary regime bet.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0025
Bridgewater,Macro,Rates & Basis,US,Macro,research,US Swap Spread Arb (US),UST vs swap basis dislocations.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0026
Bridgewater,Macro,Rates & Basis,US,Macro,research,Bund Swap Spread Arb (US),Bund vs Euribor basis.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0027
Bridgewater,Macro,Rates & Basis,US,Macro,research,Repo Specialness (UST) (US),Funding scarcity premium.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0028
Bridgewater,Macro,Rates & Basis,US,Macro,research,UST Futures Basis (US),CTD roll/basis mispricing.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0029
Bridgewater,Macro,Rates & Basis,US,Macro,research,Auction Cycle: UST 10Y (US),Pre/post auction drift alpha.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0030
Bridgewater,Macro,Rates & Basis,EU,Macro,research,US 2s10s Steepener (EU),Re-steepening as growth recovers.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0031
Bridgewater,Macro,Rates & Basis,EU,Macro,research,US 2s10s Flattener (EU),Flattening under aggressive hikes.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0032
Bridgewater,Macro,Rates & Basis,EU,Macro,research,US 5s30s Steepener (EU),Long-end re-steepening.,0.02,[],futures_macro,{},macro,2025-09-10,2025-09-10,BW-0033
